1 800 1300 5900 1000 700
2 300 100 1000 900 600
3 100 100 1100 2200 800
4 0 100 1000 1000 900
5 0 100 1200 1100 1000
6 0 100 1100 1200 1000
7 300 100 1200 1200 1000
8 300 100 1200 1400 1200
9 200 100 1400 1300 1200
10 100 100 1300 1400 1300
11 300 100 1400 1600 1400
12 100 0 1500 1700 1400
13 100 100 1600 1700 1400
14 100 100 1500 1700 1500
15 100 100 1600 2000 1700
16 100 100 1700 1900 1700
17 100 100 1800 2000 1800
18 100 100 1900 2200 1900
19 100 0 1900 2000 1900
20 100 0 2000 2300 2000
21 100 100 2100 2300 2000
22 100 100 2100 2400 2200
23 0 100 2300 2900 2300
24 0 100 2200 2500 2300
25 0 100 2300 2500 2500
26 200 0 3500 3000 3100
27 100 100 2400 3000 2600
28 100 0 2400 2900 3000
29 100 100 2600 3000 2900
30 0 100 2500 3100 2800
31 100 100 3000 5100 14600
32 100 200 2600 3100 2200
33 100 100 2600 3300 2300
34 100 100 2700 3300 2500
35 500 100 2700 3500 2300
36 100 0 2900 3500 2500
37 400 200 2900 3500 2800
38 0 0 2700 3600 2800
39 100 100 3000 3700 2800
40 100 200 2800 3700 2900
41 100 100 2900 3900 2900
42 100 100 3200 3800 2900
43 0 100 3100 4000 3100
44 100 100 3300 4000 3300
45 100 100 3500 4400 3300
46 0 100 3300 4200 3500
47 100 200 3600 4600 3300
48 0 100 3600 4600 3600
49 100 100 3400 4400 3800
50 100 200 3600 4800 3500
51 0 200 4300 4900 4000
52 100 200 4200 5400 4400
53 100 400 4200 5100 3900
54 100 100 4100 4800 4200
55 0 100 4000 5000 4100
56 100 0 4200 5000 4200
57 100 100 3900 5000 4400
58 0 100 4100 5400 4400
59 0 100 4000 5500 4500
60 100 100 4300 5400 4500
61 100 100 4200 5400 4600
62 100 100 4200 5700 4500
63 0 100 4200 5500 4000
64 800 100 4600 5600 4400
65 100 100 4400 6000 4000
66 100 100 4700 6200 4300
67 100 100 4900 6000 4400
68 100 100 4700 6100 4500
69 900 100 5000 6200 4800
70 100 100 5800 6300 4700
71 0 100 4600 6200 4500
72 100 100 5000 19900 5100
73 100 0 4800 6500 4800
74 100 100 5000 6900 4900
75 100 100 5100 6600 5000
76 0 100 5100 6800 5100
77 500 100 5100 7100 5500
78 100 200 5200 6600 5100
79 100 100 5400 7000 5100
80 100 100 5100 6700 5300
81 100 100 5200 6800 5400
82 0 100 5700 7000 5400
83 100 100 5400 7100 5800
84 100 100 5200 6900 5900
85 200 100 5200 8800 6800
86 100 100 65500 8200 6500
87 100 100 5800 20200 6000
88 100 200 5700 15700 6600
89 100 200 5600 7300 6000
90 0 200 5900 7600 6100
91 100 100 5800 20100 6000
92 0 100 5800 7800 6000
93 100 100 5900 8100 6100
94 100 100 5700 8000 6200
95 100 100 6600 8200 6500
96 100 200 6100 8300 5900
97 100 100 6600 8300 5800
98 100 100 10200 8300 5900
99 100 200 6300 8600 6200
100 100 100 6300 8800 6500
101 100 100 7100 8500 6600
102 0 100 6400 8600 6300
103 0 100 6400 8400 6300
104 0 100 6500 8800 6200
105 100 100 24100 9800 7500
106 100 200 6700 9000 7000
107 200 200 7100 9100 6700
108 0 100 6900 9400 7000
109 100 200 6800 9300 7100
110 0 300 7200 9700 8000
111 100 100 7000 9500 7100
112 100 100 7300 9600 7300
113 100 200 7100 9500 7200
114 100 100 21100 9300 6900
115 0 100 21500 21800 21300
116 100 100 7200 24000 7400
117 100 100 7000 9500 7300
118 100 100 21400 10000 19900
119 100 100 7200 9600 7500
120 100 100 7000 10200 7500
121 100 100 7600 10400 8000
122 100 100 7600 10400 8100
123 100 100 7700 10300 15000
124 5600 200 16600 11600 8200
125 100 200 17100 11200 8300
126 200 100 7800 10400 8300
127 100 200 7900 104400 8200
128 0 100 8100 10600 7800
129 100 100 7800 11100 7600
130 100 100 8000 12700 7900
131 0 100 8200 11100 8000
132 100 300 8200 11200 8500
133 100 100 14000 12800 8300
134 100 100 9000 11500 8200
135 0 0 8000 10700 8000
136 100 100 8000 10800 7900
137 100 100 7900 11000 8200
138 0 100 8300 11300 8300
139 100 100 8200 11200 8200
140 100 100 8300 11500 8000
141 100 100 8300 11700 8400
142 200 200 8300 11500 8500
143 100 100 8400 11700 8800
144 100 100 8700 11800 8600
145 100 100 8900 11800 8700
146 100 100 8700 11900 8900
147 100 100 8600 12000 8900
148 100 100 9300 12700 9800
149 0 200 8800 12100 8900
150 0 100 9000 12100 9000
151 0 100 9100 12100 9200
152 100 200 8900 12200 9200
153 100 100 9100 12400 9400
154 0 0 9300 12200 9500
155 100 100 9200 12800 9600
156 0 0 9200 12500 11000
157 100 100 9000 12600 9600
158 0 500 10600 13200 9800
159 0 100 9400 13000 9100
160 0 100 9200 12900 9100
161 100 100 9500 12900 9100
162 0 0 9300 13100 9300
163 0 100 9500 13300 9500
164 100 100 9600 13100 9500
165 0 100 9800 13200 9600
166 100 100 10700 14000 10400
167 0 100 9700 13500 9900
168 100 100 9800 27900 10400
169 100 200 10200 14100 10100
170 100 200 9900 13500 10200
171 100 200 9900 13800 9800
172 100 100 10100 13700 10000
173 100 100 9900 13900 10200
174 0 100 10100 14100 10200
175 0 100 10300 14100 10400
176 100 100 10200 14000 10500
177 100 100 12800 14100 10600
178 100 100 10200 14400 10700
179 100 100 10200 14100 10600
180 100 100 10400 14300 10700
181 100 100 10400 14500 10800
182 100 100 10400 14900 10800
183 0 100 10500 14500 10900
184 100 100 10500 15000 10800
185 0 100 10700 14900 10900
186 100 100 10700 15000 11000
187 100 100 10700 15000 11000
188 100 0 10700 15100 11300
189 100 100 10800 15100 11300
190 100 100 10800 15200 11400
191 100 100 11000 15200 10800
192 100 0 11500 15500 11100
193 100 100 11000 15600 11000
194 100 100 11200 15500 11000
195 100 100 11100 15500 11000
196 100 100 11100 15700 11200
197 0 100 11400 15800 11200
198 100 100 11200 16900 11500
199 100 100 11600 15900 11500
200 100 100 11400 15900 11600
201 100 100 11500 16000 11800
202 100 100 11400 16100 11800
203 100 100 11600 16200 11700
204 100 100 11700 16400 11700
205 100 100 11500 32300 12500
206 100 100 11900 16400 11900
207 100 200 11900 16400 11900
208 100 100 12400 17000 12300
209 100 100 25300 17300 12600
210 100 200 12200 16800 12400
211 100 100 11900 16800 12300
212 0 100 11700 17000 12700
213 0 100 11800 17000 12300
214 100 100 12000 17000 12700
